part_id,hh_id,part_age,part_gender,part_occupation
1856,BE101856,70,M,2
2251,BE102251,8,F,5
5294,BE105294,44,M,1
5966,BE105966,57,M,1
6286,BE106286,46,M,1
6927,BE106927,12,M,5
9930,BE109930,45,M,1
10419,BE1010419,55,F,1
10504,BE1010504,26,M,1
12958,BE1012958,42,F,6
19607,BE1019607,47,M,1
21748,BE1021748,53,M,1
22259,BE1022259,51,F,3
25946,BE1025946,25,F,1
27902,BE1027902,52,F,1
27905,BE1027905,14,F,5
29501,BE1029501,1,F,6
31741,BE1031741,34,F,1
32126,BE1032126,69,M,2
33118,BE1033118,71,M,2
36037,BE1036037,44,F,1
36421,BE1036421,52,F,1
38226,BE1038226,78,F,3
39743,BE1039743,87,M,2
40026,BE1040026,3,M,6
40027,BE1040027,3,F,5
40028,BE1040028,3,M,5
40029,BE1040029,3,F,5
40030,BE1040030,4,M,5
40032,BE1040032,5,M,5
40033,BE1040033,8,M,5
40034,BE1040034,80,M,2
40036,BE1040036,83,F,2
41931,BE1041931,7,M,5
42430,BE1042430,69,F,3
43226,BE1043226,65,M,2
43404,BE1043404,20,M,5
45114,BE1045114,84,F,2
46508,BE1046508,86,F,2
46568,BE1046568,60,M,1
46753,BE1046753,36,M,6
46755,BE1046755,45,M,6
48977,BE1048977,63,M,1
50042,BE1050042,5,M,5
50046,BE1050046,5,F,5
50047,BE1050047,4,M,5
50049,BE1050049,8,F,5
50050,BE1050050,0,F,6
54681,BE1054681,55,F,3
55197,BE1055197,50,F,1
55976,BE1055976,61,F,3
56016,BE1056016,52,M,1
59635,BE1059635,34,F,1
59730,BE1059730,29,F,1
60001,BE1060001,99,F,3
60002,BE1060002,95,M,2
60003,BE1060003,97,F,2
60004,BE1060004,91,F,2
60005,BE1060005,91,F,6
60006,BE1060006,88,F,3
60007,BE1060007,90,F,3
60008,BE1060008,90,F,2
60009,BE1060009,89,F,3
60011,BE1060011,93,F,2
60012,BE1060012,95,F,3
65989,BE1065989,47,F,3
72620,BE1072620,32,F,1
77167,BE1077167,46,F,3
78144,BE1078144,75,M,2
81043,BE1081043,54,M,1
81678,BE1081678,52,M,1
81991,BE1081991,22,M,5
84346,BE1084346,52,F,1
92192,BE1092192,51,F,4
93834,BE1093834,36,F,4
97902,BE1097902,66,F,2
101292,BE10101292,51,M,4
101499,BE10101499,38,F,1
101565,BE10101565,76,F,2
102388,BE10102388,33,F,1
104728,BE10104728,24,M,5
108387,BE10108387,17,M,5
108837,BE10108837,68,F,2
111403,BE10111403,75,F,2
113146,BE10113146,36,F,1
115983,BE10115983,42,F,4
118408,BE10118408,13,M,5
118535,BE10118535,45,M,1
120038,BE10120038,51,F,6
120152,BE10120152,51,F,1
120226,BE10120226,24,F,1
123951,BE10123951,19,F,5
124592,BE10124592,31,F,1
127249,BE10127249,54,F,1
127270,BE10127270,36,F,1
127299,BE10127299,44,F,1
129718,BE10129718,79,M,2
130779,BE10130779,77,M,2
132169,BE10132169,16,F,5
132701,BE10132701,69,F,2
133609,BE10133609,78,F,3
140370,BE10140370,53,F,1
143921,BE10143921,56,M,1
147268,BE10147268,40,F,1
147532,BE10147532,20,F,5
151212,BE10151212,32,F,1
154799,BE10154799,4,M,5
160773,BE10160773,42,F,1
163265,BE10163265,37,M,1
163924,BE10163924,49,F,1
170596,BE10170596,21,M,1
170729,BE10170729,48,F,1
170929,BE10170929,46,F,1
172249,BE10172249,65,M,2
174345,BE10174345,74,F,2
178287,BE10178287,6,M,5
181118,BE10181118,1,M,6
181882,BE10181882,41,F,1
184160,BE10184160,50,M,1
188189,BE10188189,49,M,1
188749,BE10188749,71,M,2
191529,BE10191529,51,F,1
192682,BE10192682,56,F,1
201795,BE10201795,16,M,5
205052,BE10205052,29,M,1
210174,BE10210174,9,M,5
213544,BE10213544,52,M,1
215665,BE10215665,69,M,1
216250,BE10216250,33,F,1
216622,BE10216622,38,F,1
217612,BE10217612,52,F,1
218307,BE10218307,4,M,5
218575,BE10218575,12,M,5
221582,BE10221582,71,M,2
222889,BE10222889,43,F,1
223825,BE10223825,24,F,1
225664,BE10225664,28,M,1
227760,BE10227760,25,M,1
231634,BE10231634,50,M,1
236095,BE10236095,55,M,1
237254,BE10237254,46,F,1
238070,BE10238070,27,M,1
239183,BE10239183,29,M,1
239374,BE10239374,3,F,5
241778,BE10241778,33,F,1
243369,BE10243369,78,M,2
244303,BE10244303,37,F,3
244706,BE10244706,57,F,3
249821,BE10249821,31,F,1
255010,BE10255010,49,F,1
256146,BE10256146,37,F,1
258605,BE10258605,69,M,2
262080,BE10262080,51,F,1
270985,BE10270985,31,M,6
274203,BE10274203,23,M,1
278685,BE10278685,25,F,1
279254,BE10279254,18,M,5
280492,BE10280492,45,F,1
282627,BE10282627,52,M,1
285321,BE10285321,48,F,1
287388,BE10287388,1,M,3
291891,BE10291891,88,M,1
293498,BE10293498,81,F,2
295573,BE10295573,27,F,1
296341,BE10296341,50,F,1
299253,BE10299253,44,F,3
301380,BE10301380,11,F,5
301390,BE10301390,16,F,5
